Segment,Year,Country,Market,Region,Category,Sub-Category,Profit
Consumer,2011.0,Bangladesh,APAC,Central Asia,Furniture,Chairs,65.7
Consumer,2011.0,Bangladesh,APAC,Central Asia,Furniture,Furnishings,245.37
Consumer,2011.0,Bangladesh,APAC,Central Asia,Office Supplies,Art,103.41
Consumer,2011.0,Bangladesh,APAC,Central Asia,Office Supplies,Binders,41.16
Consumer,2011.0,Bangladesh,APAC,Central Asia,Office Supplies,Envelopes,16.8
Consumer,2011.0,Bangladesh,APAC,Central Asia,Office Supplies,Fasteners,27.0
Consumer,2011.0,Bangladesh,APAC,Central Asia,Office Supplies,Labels,9.9
Consumer,2011.0,Bangladesh,APAC,Central Asia,Office Supplies,Paper,120.57000000000001
Consumer,2011.0,Bangladesh,APAC,Central Asia,Office Supplies,Supplies,44.79
Consumer,2011.0,Bangladesh,APAC,Central Asia,Technology,Copiers,232.23000000000002
Consumer,2011.0,Bangladesh,APAC,Central Asia,Technology,Phones,1610.28
Consumer,2011.0,Barbados,LATAM,Caribbean,Office Supplies,Binders,3.34
Consumer,2011.0,Barbados,LATAM,Caribbean,Office Supplies,Paper,21.92
Consumer,2011.0,Belarus,EMEA,EMEA,Furniture,Chairs,7.92
Consumer,2011.0,Belarus,EMEA,EMEA,Office Supplies,Appliances,28.62
Consumer,2011.0,Belarus,EMEA,EMEA,Office Supplies,Art,10.02
Consumer,2011.0,Belarus,EMEA,EMEA,Office Supplies,Binders,3.9
Consumer,2011.0,Belarus,EMEA,EMEA,Office Supplies,Envelopes,1.14
Consumer,2011.0,Belarus,EMEA,EMEA,Office Supplies,Fasteners,13.02
Consumer,2011.0,Belarus,EMEA,EMEA,Office Supplies,Supplies,3.42
Consumer,2011.0,Belgium,EU,Central,Office Supplies,Appliances,883.1999999999999
Consumer,2011.0,Belgium,EU,Central,Office Supplies,Art,52.11
Consumer,2011.0,Belgium,EU,Central,Office Supplies,Supplies,19.32
Consumer,2011.0,Belgium,EU,Central,Technology,Phones,315.72
Consumer,2011.0,Benin,Africa,Africa,Office Supplies,Appliances,43.44
Consumer,2011.0,Benin,Africa,Africa,Office Supplies,Art,8.52
Consumer,2011.0,Benin,Africa,Africa,Technology,Phones,289.2
Consumer,2011.0,Bolivia,LATAM,South,Furniture,Bookcases,396.28
Consumer,2011.0,Bolivia,LATAM,South,Furniture,Chairs,7.12
Consumer,2011.0,Bolivia,LATAM,South,Office Supplies,Fasteners,5.32
Consumer,2011.0,Brazil,LATAM,South,Furniture,Bookcases,488.556
Consumer,2011.0,Brazil,LATAM,South,Furniture,Chairs,669.544
Consumer,2011.0,Brazil,LATAM,South,Furniture,Furnishings,22.856
Consumer,2011.0,Brazil,LATAM,South,Furniture,Tables,-654.476
Consumer,2011.0,Brazil,LATAM,South,Office Supplies,Appliances,186.236
Consumer,2011.0,Brazil,LATAM,South,Office Supplies,Art,-9.639999999999997
Consumer,2011.0,Brazil,LATAM,South,Office Supplies,Binders,65.24
Consumer,2011.0,Brazil,LATAM,South,Office Supplies,Envelopes,171.24
Consumer,2011.0,Brazil,LATAM,South,Office Supplies,Fasteners,62.54
Consumer,2011.0,Brazil,LATAM,South,Office Supplies,Labels,12.26
Consumer,2011.0,Brazil,LATAM,South,Office Supplies,Paper,49.580000000000005
Consumer,2011.0,Brazil,LATAM,South,Office Supplies,Storage,30.4
Consumer,2011.0,Brazil,LATAM,South,Office Supplies,Supplies,200.74
Consumer,2011.0,Brazil,LATAM,South,Technology,Accessories,333.56399999999996
Consumer,2011.0,Brazil,LATAM,South,Technology,Copiers,739.77692
Consumer,2011.0,Brazil,LATAM,South,Technology,Machines,-165.46
Consumer,2011.0,Brazil,LATAM,South,Technology,Phones,73.93599999999995
Consumer,2011.0,Bulgaria,EMEA,EMEA,Furniture,Furnishings,12.36
Consumer,2011.0,Bulgaria,EMEA,EMEA,Office Supplies,Art,9.87
Consumer,2011.0,Bulgaria,EMEA,EMEA,Office Supplies,Fasteners,32.76
Consumer,2011.0,Bulgaria,EMEA,EMEA,Office Supplies,Storage,158.4
Consumer,2011.0,Bulgaria,EMEA,EMEA,Technology,Phones,229.98
Consumer,2011.0,Burundi,Africa,Africa,Furniture,Furnishings,22.8
Consumer,2011.0,Cambodia,APAC,Southeast Asia,Office Supplies,Envelopes,3.6
Consumer,2011.0,Cameroon,Africa,Africa,Furniture,Furnishings,27.36
Consumer,2011.0,Cameroon,Africa,Africa,Office Supplies,Binders,13.92
Consumer,2011.0,Cameroon,Africa,Africa,Office Supplies,Labels,5.699999999999999
Consumer,2011.0,Cameroon,Africa,Africa,Technology,Copiers,93.72
Consumer,2011.0,Cameroon,Africa,Africa,Technology,Machines,28.14
Consumer,2011.0,Canada,Canada,Canada,Furniture,Chairs,105.96
Consumer,2011.0,Canada,Canada,Canada,Furniture,Furnishings,14.370000000000001
Consumer,2011.0,Canada,Canada,Canada,Office Supplies,Art,19.11
Consumer,2011.0,Canada,Canada,Canada,Office Supplies,Binders,128.67000000000002
Consumer,2011.0,Canada,Canada,Canada,Office Supplies,Fasteners,18.0
Consumer,2011.0,Canada,Canada,Canada,Office Supplies,Labels,18.54
Consumer,2011.0,Canada,Canada,Canada,Office Supplies,Storage,240.81
Consumer,2011.0,Canada,Canada,Canada,Technology,Accessories,5.37
Consumer,2011.0,Canada,Canada,Canada,Technology,Copiers,152.76
Consumer,2011.0,Canada,Canada,Canada,Technology,Machines,71.76
Consumer,2011.0,Canada,Canada,Canada,Technology,Phones,123.24
Consumer,2011.0,Chile,LATAM,South,Furniture,Bookcases,25.5
Consumer,2011.0,Chile,LATAM,South,Furniture,Chairs,8.6
Consumer,2011.0,Chile,LATAM,South,Office Supplies,Binders,8.64
Consumer,2011.0,Chile,LATAM,South,Office Supplies,Fasteners,0.4
Consumer,2011.0,Chile,LATAM,South,Office Supplies,Labels,3.64
Consumer,2011.0,Chile,LATAM,South,Office Supplies,Paper,11.04
Consumer,2011.0,Chile,LATAM,South,Office Supplies,Storage,81.24000000000001
Consumer,2011.0,China,APAC,North Asia,Furniture,Bookcases,2029.89
Consumer,2011.0,China,APAC,North Asia,Furniture,Chairs,3052.9199999999996
Consumer,2011.0,China,APAC,North Asia,Furniture,Furnishings,497.04
Consumer,2011.0,China,APAC,North Asia,Furniture,Tables,606.963
Consumer,2011.0,China,APAC,North Asia,Office Supplies,Appliances,1327.4699999999998
Consumer,2011.0,China,APAC,North Asia,Office Supplies,Art,428.64000000000004
Consumer,2011.0,China,APAC,North Asia,Office Supplies,Binders,321.51000000000005
Consumer,2011.0,China,APAC,North Asia,Office Supplies,Envelopes,347.55000000000007
Consumer,2011.0,China,APAC,North Asia,Office Supplies,Fasteners,117.81
Consumer,2011.0,China,APAC,North Asia,Office Supplies,Labels,55.019999999999996
Consumer,2011.0,China,APAC,North Asia,Office Supplies,Paper,227.29500000000002
Consumer,2011.0,China,APAC,North Asia,Office Supplies,Storage,1253.82
Consumer,2011.0,China,APAC,North Asia,Office Supplies,Supplies,216.3
Consumer,2011.0,China,APAC,North Asia,Technology,Accessories,770.16
Consumer,2011.0,China,APAC,North Asia,Technology,Copiers,2268.1800000000003
Consumer,2011.0,China,APAC,North Asia,Technology,Machines,418.85999999999996
Consumer,2011.0,China,APAC,North Asia,Technology,Phones,4076.13
Consumer,2011.0,Colombia,LATAM,South,Furniture,Chairs,377.84
Consumer,2011.0,Colombia,LATAM,South,Furniture,Furnishings,33.2
Consumer,2011.0,Colombia,LATAM,South,Office Supplies,Appliances,897.08
Consumer,2011.0,Colombia,LATAM,South,Office Supplies,Art,34.3
Consumer,2011.0,Colombia,LATAM,South,Office Supplies,Binders,27.28
Consumer,2011.0,Colombia,LATAM,South,Office Supplies,Labels,7.44
Consumer,2011.0,Colombia,LATAM,South,Office Supplies,Paper,69.44
Consumer,2011.0,Colombia,LATAM,South,Office Supplies,Storage,70.5
Consumer,2011.0,Colombia,LATAM,South,Technology,Accessories,12.6
Consumer,2011.0,Colombia,LATAM,South,Technology,Copiers,535.72176
Consumer,2011.0,Colombia,LATAM,South,Technology,Phones,95.2
Consumer,2011.0,Cote d'Ivoire,Africa,Africa,Office Supplies,Art,3.96
Consumer,2011.0,Cote d'Ivoire,Africa,Africa,Office Supplies,Storage,24.12
Consumer,2011.0,Cote d'Ivoire,Africa,Africa,Technology,Phones,1428.0
Consumer,2011.0,Croatia,EMEA,EMEA,Furniture,Furnishings,1.26
Consumer,2011.0,Cuba,LATAM,Caribbean,Furniture,Bookcases,1193.56
Consumer,2011.0,Cuba,LATAM,Caribbean,Furniture,Chairs,241.22
Consumer,2011.0,Cuba,LATAM,Caribbean,Furniture,Furnishings,147.89999999999998
Consumer,2011.0,Cuba,LATAM,Caribbean,Office Supplies,Appliances,88.74
Consumer,2011.0,Cuba,LATAM,Caribbean,Office Supplies,Art,11.08
Consumer,2011.0,Cuba,LATAM,Caribbean,Office Supplies,Binders,67.62
Consumer,2011.0,Cuba,LATAM,Caribbean,Office Supplies,Envelopes,150.6
Consumer,2011.0,Cuba,LATAM,Caribbean,Office Supplies,Fasteners,3.08
Consumer,2011.0,Cuba,LATAM,Caribbean,Office Supplies,Labels,30.380000000000003
Consumer,2011.0,Cuba,LATAM,Caribbean,Office Supplies,Paper,63.260000000000005
Consumer,2011.0,Cuba,LATAM,Caribbean,Office Supplies,Storage,162.06
Consumer,2011.0,Cuba,LATAM,Caribbean,Office Supplies,Supplies,98.74
Consumer,2011.0,Cuba,LATAM,Caribbean,Technology,Accessories,130.42000000000002
Consumer,2011.0,Cuba,LATAM,Caribbean,Technology,Copiers,313.52616
Consumer,2011.0,Cuba,LATAM,Caribbean,Technology,Phones,512.3000000000001
Consumer,2011.0,Czech Republic,EMEA,EMEA,Furniture,Furnishings,96.72
Consumer,2011.0,Czech Republic,EMEA,EMEA,Office Supplies,Storage,15.96
Consumer,2011.0,Democratic Republic of the Congo,Africa,Africa,Furniture,Furnishings,25.049999999999997
Consumer,2011.0,Democratic Republic of the Congo,Africa,Africa,Office Supplies,Appliances,1.32
Consumer,2011.0,Democratic Republic of the Congo,Africa,Africa,Office Supplies,Art,217.07999999999998
Consumer,2011.0,Democratic Republic of the Congo,Africa,Africa,Office Supplies,Binders,37.14
Consumer,2011.0,Democratic Republic of the Congo,Africa,Africa,Office Supplies,Envelopes,12.96
Consumer,2011.0,Democratic Republic of the Congo,Africa,Africa,Office Supplies,Fasteners,37.68
Consumer,2011.0,Democratic Republic of the Congo,Africa,Africa,Office Supplies,Labels,5.52
Consumer,2011.0,Democratic Republic of the Congo,Africa,Africa,Office Supplies,Paper,26.370000000000005
Consumer,2011.0,Democratic Republic of the Congo,Africa,Africa,Office Supplies,Storage,160.5
Consumer,2011.0,Democratic Republic of the Congo,Africa,Africa,Technology,Machines,174.81
Consumer,2011.0,Denmark,EU,North,Office Supplies,Art,-10.92
Consumer,2011.0,Denmark,EU,North,Office Supplies,Binders,-10.755
Consumer,2011.0,Denmark,EU,North,Office Supplies,Storage,-73.8
Consumer,2011.0,Denmark,EU,North,Office Supplies,Supplies,-37.755
Consumer,2011.0,Denmark,EU,North,Technology,Machines,-538.275
Consumer,2011.0,Denmark,EU,North,Technology,Phones,-13.005
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Furniture,Bookcases,81.584
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Furniture,Chairs,94.96800000000002
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Furniture,Furnishings,-298.91999999999996
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Office Supplies,Appliances,549.144
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Office Supplies,Art,18.752000000000002
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Office Supplies,Binders,-35.936
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Office Supplies,Envelopes,-3.7600000000000002
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Office Supplies,Fasteners,8.076
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Office Supplies,Labels,7.96
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Office Supplies,Paper,-4.8
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Office Supplies,Storage,23.607999999999997
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Office Supplies,Supplies,31.564
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Technology,Accessories,33.432
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Technology,Copiers,13.718119999999999
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Technology,Machines,-121.792
Consumer,2011.0,Dominican Republic,LATAM,Caribbean,Technology,Phones,-332.28
Consumer,2011.0,Ecuador,LATAM,South,Furniture,Chairs,65.82
Consumer,2011.0,Ecuador,LATAM,South,Furniture,Furnishings,22.68
Consumer,2011.0,Ecuador,LATAM,South,Office Supplies,Fasteners,6.5
Consumer,2011.0,Ecuador,LATAM,South,Office Supplies,Labels,38.38
Consumer,2011.0,Ecuador,LATAM,South,Office Supplies,Storage,13.52
Consumer,2011.0,Ecuador,LATAM,South,Technology,Phones,69.8
Consumer,2011.0,Egypt,Africa,Africa,Furniture,Bookcases,10.05
Consumer,2011.0,Egypt,Africa,Africa,Furniture,Chairs,426.17999999999995
Consumer,2011.0,Egypt,Africa,Africa,Furniture,Furnishings,39.96
Consumer,2011.0,Egypt,Africa,Africa,Office Supplies,Appliances,189.0
Consumer,2011.0,Egypt,Africa,Africa,Office Supplies,Art,287.19
Consumer,2011.0,Egypt,Africa,Africa,Office Supplies,Binders,50.01
Consumer,2011.0,Egypt,Africa,Africa,Office Supplies,Envelopes,0.0
Consumer,2011.0,Egypt,Africa,Africa,Office Supplies,Fasteners,2.46
Consumer,2011.0,Egypt,Africa,Africa,Office Supplies,Labels,25.5
Consumer,2011.0,Egypt,Africa,Africa,Office Supplies,Paper,16.92
Consumer,2011.0,Egypt,Africa,Africa,Office Supplies,Storage,252.68999999999997
Consumer,2011.0,Egypt,Africa,Africa,Office Supplies,Supplies,21.81
Consumer,2011.0,Egypt,Africa,Africa,Technology,Accessories,7.29
Consumer,2011.0,Egypt,Africa,Africa,Technology,Copiers,479.88
Consumer,2011.0,Egypt,Africa,Africa,Technology,Machines,42.18
Consumer,2011.0,Egypt,Africa,Africa,Technology,Phones,107.13
Consumer,2011.0,El Salvador,LATAM,Central,Furniture,Bookcases,612.68
Consumer,2011.0,El Salvador,LATAM,Central,Furniture,Chairs,1624.14
Consumer,2011.0,El Salvador,LATAM,Central,Furniture,Furnishings,151.51999999999998
Consumer,2011.0,El Salvador,LATAM,Central,Furniture,Tables,825.884
Consumer,2011.0,El Salvador,LATAM,Central,Office Supplies,Appliances,444.2
Consumer,2011.0,El Salvador,LATAM,Central,Office Supplies,Art,127.35999999999999
Consumer,2011.0,El Salvador,LATAM,Central,Office Supplies,Binders,54.62
Consumer,2011.0,El Salvador,LATAM,Central,Office Supplies,Envelopes,110.6
Consumer,2011.0,El Salvador,LATAM,Central,Office Supplies,Fasteners,35.5
Consumer,2011.0,El Salvador,LATAM,Central,Office Supplies,Labels,38.66
Consumer,2011.0,El Salvador,LATAM,Central,Office Supplies,Paper,16.919999999999998
Consumer,2011.0,El Salvador,LATAM,Central,Office Supplies,Storage,302.14
Consumer,2011.0,El Salvador,LATAM,Central,Office Supplies,Supplies,141.22
Consumer,2011.0,El Salvador,LATAM,Central,Technology,Accessories,659.12
Consumer,2011.0,El Salvador,LATAM,Central,Technology,Copiers,606.3044
Consumer,2011.0,El Salvador,LATAM,Central,Technology,Machines,149.64
Consumer,2011.0,El Salvador,LATAM,Central,Technology,Phones,583.64
Consumer,2011.0,Ethiopia,Africa,Africa,Office Supplies,Art,168.24
Consumer,2011.0,Ethiopia,Africa,Africa,Office Supplies,Storage,4.95
Consumer,2011.0,Finland,EU,North,Furniture,Bookcases,79.98
Consumer,2011.0,Finland,EU,North,Furniture,Chairs,20.16
Consumer,2011.0,Finland,EU,North,Office Supplies,Art,110.88
Consumer,2011.0,Finland,EU,North,Office Supplies,Binders,10.92
Consumer,2011.0,Finland,EU,North,Technology,Phones,178.11
Consumer,2011.0,France,EU,Central,Furniture,Bookcases,-794.2739999999999
Consumer,2011.0,France,EU,Central,Furniture,Chairs,2626.941
Consumer,2011.0,France,EU,Central,Furniture,Furnishings,142.95
Consumer,2011.0,France,EU,Central,Furniture,Tables,-754.4145
Consumer,2011.0,France,EU,Central,Office Supplies,Appliances,669.795
Consumer,2011.0,France,EU,Central,Office Supplies,Art,696.39
Consumer,2011.0,France,EU,Central,Office Supplies,Binders,598.185
Consumer,2011.0,France,EU,Central,Office Supplies,Envelopes,322.04999999999995
Consumer,2011.0,France,EU,Central,Office Supplies,Fasteners,53.43
Consumer,2011.0,France,EU,Central,Office Supplies,Labels,95.91
Consumer,2011.0,France,EU,Central,Office Supplies,Paper,16.935
Consumer,2011.0,France,EU,Central,Office Supplies,Storage,252.45300000000003
Consumer,2011.0,France,EU,Central,Office Supplies,Supplies,488.7900000000001
Consumer,2011.0,France,EU,Central,Technology,Accessories,113.72999999999999
Consumer,2011.0,France,EU,Central,Technology,Copiers,-9.242999999999995
Consumer,2011.0,France,EU,Central,Technology,Machines,39.08850000000001
Consumer,2011.0,France,EU,Central,Technology,Phones,2480.1405
Consumer,2011.0,Georgia,EMEA,EMEA,Furniture,Furnishings,31.2
Consumer,2011.0,Georgia,EMEA,EMEA,Office Supplies,Fasteners,7.26
Consumer,2011.0,Germany,EU,Central,Furniture,Bookcases,615.615
Consumer,2011.0,Germany,EU,Central,Furniture,Chairs,966.2640000000001
Consumer,2011.0,Germany,EU,Central,Furniture,Furnishings,215.964
Consumer,2011.0,Germany,EU,Central,Furniture,Tables,-252.4169999999999
Consumer,2011.0,Germany,EU,Central,Office Supplies,Appliances,1993.71
Consumer,2011.0,Germany,EU,Central,Office Supplies,Art,899.5829999999999
Consumer,2011.0,Germany,EU,Central,Office Supplies,Binders,443.54699999999997
Consumer,2011.0,Germany,EU,Central,Office Supplies,Envelopes,42.402
Consumer,2011.0,Germany,EU,Central,Office Supplies,Fasteners,202.84499999999997
Consumer,2011.0,Germany,EU,Central,Office Supplies,Labels,79.30199999999999
Consumer,2011.0,Germany,EU,Central,Office Supplies,Paper,494.08799999999997
Consumer,2011.0,Germany,EU,Central,Office Supplies,Storage,1490.4990000000003
Consumer,2011.0,Germany,EU,Central,Office Supplies,Supplies,199.074
Consumer,2011.0,Germany,EU,Central,Technology,Accessories,591.9000000000001
Consumer,2011.0,Germany,EU,Central,Technology,Copiers,925.3800000000001
Consumer,2011.0,Germany,EU,Central,Technology,Machines,1057.3200000000002
Consumer,2011.0,Germany,EU,Central,Technology,Phones,1942.65
Consumer,2011.0,Ghana,Africa,Africa,Office Supplies,Art,178.64999999999998
Consumer,2011.0,Ghana,Africa,Africa,Office Supplies,Binders,19.740000000000002
Consumer,2011.0,Ghana,Africa,Africa,Office Supplies,Paper,31.5
Consumer,2011.0,Ghana,Africa,Africa,Technology,Machines,1.5
Consumer,2011.0,Guatemala,LATAM,Central,Furniture,Bookcases,437.55999999999995
Consumer,2011.0,Guatemala,LATAM,Central,Furniture,Chairs,91.56
Consumer,2011.0,Guatemala,LATAM,Central,Furniture,Furnishings,72.42
Consumer,2011.0,Guatemala,LATAM,Central,Office Supplies,Appliances,40.88
Consumer,2011.0,Guatemala,LATAM,Central,Office Supplies,Art,73.54
Consumer,2011.0,Guatemala,LATAM,Central,Office Supplies,Binders,89.88
Consumer,2011.0,Guatemala,LATAM,Central,Office Supplies,Envelopes,144.26
Consumer,2011.0,Guatemala,LATAM,Central,Office Supplies,Fasteners,8.34
Consumer,2011.0,Guatemala,LATAM,Central,Office Supplies,Labels,20.16
Consumer,2011.0,Guatemala,LATAM,Central,Office Supplies,Paper,31.459999999999997
Consumer,2011.0,Guatemala,LATAM,Central,Office Supplies,Storage,218.04
Consumer,2011.0,Guatemala,LATAM,Central,Technology,Accessories,587.98
Consumer,2011.0,Guatemala,LATAM,Central,Technology,Copiers,642.25716
Consumer,2011.0,Guatemala,LATAM,Central,Technology,Machines,80.64
Consumer,2011.0,Guatemala,LATAM,Central,Technology,Phones,458.32
Consumer,2011.0,Guinea,Africa,Africa,Office Supplies,Appliances,263.04
Consumer,2011.0,Guinea,Africa,Africa,Technology,Machines,55.98
Consumer,2011.0,Haiti,LATAM,Caribbean,Furniture,Bookcases,-95.6
Consumer,2011.0,Haiti,LATAM,Caribbean,Furniture,Chairs,-152.224
Consumer,2011.0,Haiti,LATAM,Caribbean,Furniture,Furnishings,-70.518
Consumer,2011.0,Haiti,LATAM,Caribbean,Office Supplies,Binders,-12.056
Consumer,2011.0,Haiti,LATAM,Caribbean,Office Supplies,Envelopes,0.0
Consumer,2011.0,Haiti,LATAM,Caribbean,Office Supplies,Fasteners,-0.74
Consumer,2011.0,Haiti,LATAM,Caribbean,Office Supplies,Storage,-1.876
Consumer,2011.0,Haiti,LATAM,Caribbean,Technology,Accessories,-65.064
Consumer,2011.0,Haiti,LATAM,Caribbean,Technology,Machines,-127.16
Consumer,2011.0,Honduras,LATAM,Central,Furniture,Bookcases,-93.34
Consumer,2011.0,Honduras,LATAM,Central,Furniture,Chairs,34.36
Consumer,2011.0,Honduras,LATAM,Central,Furniture,Furnishings,-79.896
Consumer,2011.0,Honduras,LATAM,Central,Furniture,Tables,-296.274
Consumer,2011.0,Honduras,LATAM,Central,Office Supplies,Art,-21.272
Consumer,2011.0,Honduras,LATAM,Central,Office Supplies,Binders,-53.64399999999999
Consumer,2011.0,Honduras,LATAM,Central,Office Supplies,Envelopes,-62.79600000000001
Consumer,2011.0,Honduras,LATAM,Central,Office Supplies,Fasteners,-13.112
Consumer,2011.0,Honduras,LATAM,Central,Office Supplies,Labels,-13.832
Consumer,2011.0,Honduras,LATAM,Central,Office Supplies,Paper,-4.792
Consumer,2011.0,Honduras,LATAM,Central,Office Supplies,Storage,0.2240000000000011
Consumer,2011.0,Honduras,LATAM,Central,Office Supplies,Supplies,-14.596
Consumer,2011.0,Honduras,LATAM,Central,Technology,Accessories,-143.368
Consumer,2011.0,Honduras,LATAM,Central,Technology,Copiers,-424.39844
Consumer,2011.0,Honduras,LATAM,Central,Technology,Machines,-142.912
